phase_id,task_id,pack_bytes,pack_lines,pack_sections,reads_glob_count,writes_glob_count,decision_refs_count,acceptance_refs_count
P1,P1-T1,5376,160,10,0,0,0,0
P1,P1-T2,5369,160,10,0,0,0,0
P10,P10-T1,22706,349,22,0,1,1,1
P10,P10-T2,24697,428,25,3,5,1,1
P10,P10-T3,27854,482,30,4,9,1,1
P10,P10-T4,27774,478,30,5,5,1,1
P10,P10-T5,23151,370,24,4,4,1,1
P10,P10-T6,27485,467,29,1,0,1,1
P11,P11-T1,28569,392,26,0,1,1,1
P11,P11-T2,30662,474,29,4,4,1,1
P11,P11-T3,30880,480,29,5,6,1,1
P11,P11-T4,30849,479,29,5,6,1,1
P11,P11-T5,32898,507,34,2,3,1,1
P11,P11-T6,29024,415,28,4,4,1,1
P12,P12-T1,33100,470,27,0,1,1,1
P12,P12-T2,36420,580,30,7,11,1,1
P12,P12-T3,35241,555,30,4,7,1,1
P12,P12-T4,34986,551,30,4,7,1,1
P12,P12-T5,33697,495,29,4,4,1,1
P13,P13-T1,45345,580,28,0,1,1,1
P13,P13-T2,50325,711,36,5,6,1,1
P13,P13-T3,50798,718,36,3,7,1,1
P13,P13-T4,49995,700,36,2,6,1,1
P13,P13-T5,45894,605,30,5,4,1,1
P13,P13-T6,45717,599,30,3,2,1,1
P14,P14-T1,53461,728,29,0,1,1,1
P14,P14-T2,53688,745,31,5,2,1,1
P14,P14-T3,53647,740,31,4,2,1,1
P14,P14-T4,59049,870,37,6,9,1,1
P14,P14-T5,60198,900,37,11,6,1,1
P14,P14-T6,58896,870,37,9,10,1,1
P14,P14-T7,54060,755,31,5,5,1,1
P14,P14-T8,53990,752,31,3,2,1,1
P15,P15-T1,31322,741,14,9,11,1,1
P15,P15-T2,24041,571,9,4,6,1,1
P15,P15-T3,28262,676,15,4,9,1,1
P15,P15-T4,24205,571,9,4,6,1,1
P15,P15-T5,30997,731,16,0,0,1,1
P15,P15-T6,24581,583,9,4,7,1,1
P16,P16-T1,28596,435,25,6,2,1,1
P16,P16-T2,31602,487,31,5,4,1,1
P16,P16-T3,30796,470,31,5,3,1,1
P16,P16-T4,27134,377,25,7,2,1,1
P16,P16-T5,26903,374,25,4,5,1,1
P17,P17-T1,15538,422,8,3,6,1,1
P17,P17-T2,14490,399,9,5,8,1,1
P17,P17-T3,14493,397,9,5,6,1,1
P17,P17-T4,18581,498,15,4,6,1,1
P17,P17-T5,14128,392,9,3,3,1,1
P18,P18-T1,23179,441,21,4,2,1,1
P18,P18-T2,25722,484,27,1,4,1,1
P18,P18-T3,25753,491,27,2,4,1,1
P18,P18-T4,27466,524,30,1,5,1,1
P18,P18-T5,21052,375,21,3,4,1,1
P19,P19-T1,18149,363,23,4,2,1,1
P19,P19-T2,337790,4283,248,4,6,1,1
P19,P19-T3,20610,413,29,3,5,1,1
P19,P19-T4,16267,304,23,3,4,1,1
P2,P2-T1,5514,157,10,0,0,0,0
P2,P2-T2,5498,157,10,0,0,0,0
P2,P2-T3,5527,157,10,0,0,0,0
P2,P2-T4,1297,55,4,0,0,0,0
P20,P20-T1,18198,386,20,4,2,1,1
P20,P20-T2,338222,4294,248,5,6,1,1
P20,P20-T3,20814,428,26,1,6,1,1
P20,P20-T4,16036,316,20,2,3,1,1
P21,P21-T0,22254,328,18,4,2,1,1
P21,P21-T1,22295,336,19,3,3,1,1
P21,P21-T2,22331,333,19,3,4,1,1
P21,P21-T3,27823,472,25,5,6,1,1
P21,P21-T4,27312,460,25,3,6,1,1
P21,P21-T5,28290,483,25,5,15,1,1
P21,P21-T6,22318,336,19,1,3,1,1
P22,P22-T0,10358,218,14,5,2,1,1
P24,P24-T0,23039,364,18,4,2,1,1
P24,P24-T1,29612,530,25,6,8,1,1
P24,P24-T2,22930,367,19,1,2,1,1
P26,P26-T0,20479,320,17,4,2,1,1
P26,P26-T1,26003,459,24,5,4,1,1
P26,P26-T2,20763,329,18,2,5,1,1
P26,P26-T3,20681,332,18,3,4,1,1
P27,P27-T0,19739,322,18,3,2,1,1
P27,P27-T1,24952,459,25,11,3,1,1
P27,P27-T2,23865,429,25,6,3,1,1
P27,P27-T3,19275,315,19,1,2,1,1
P28,P28-T0,14232,222,15,2,2,1,1
P28,P28-T1,36465,555,32,4,4,2,1
P28,P28-T2,33768,511,31,4,13,2,1
P28,P28-T3,14994,243,16,4,2,1,1
P29,P29-T0,5649,142,7,2,1,0,1
