phase_id,task_id,pack_bytes,pack_lines,pack_sections,reads_glob_count,writes_glob_count,decision_refs_count,acceptance_refs_count
P1,P1-T1,5949,163,10,0,0,0,0
P1,P1-T2,5942,163,10,0,0,0,0
P10,P10-T1,22843,351,22,0,1,1,1
P10,P10-T2,24834,430,25,3,5,1,1
P10,P10-T3,28428,485,30,4,9,1,1
P10,P10-T4,28348,481,30,5,5,1,1
P10,P10-T5,23288,372,24,4,4,1,1
P10,P10-T6,28059,470,29,1,0,1,1
P11,P11-T1,28706,394,26,0,1,1,1
P11,P11-T2,30799,476,29,4,4,1,1
P11,P11-T3,31017,482,29,5,6,1,1
P11,P11-T4,30986,481,29,5,6,1,1
P11,P11-T5,33472,510,34,2,3,1,1
P11,P11-T6,29161,417,28,4,4,1,1
P12,P12-T1,33237,472,27,0,1,1,1
P12,P12-T2,36557,582,30,7,11,1,1
P12,P12-T3,35378,557,30,4,7,1,1
P12,P12-T4,35123,553,30,4,7,1,1
P12,P12-T5,33834,497,29,4,4,1,1
P13,P13-T1,45482,582,28,0,1,1,1
P13,P13-T2,50899,714,36,5,6,1,1
P13,P13-T3,51372,721,36,3,7,1,1
P13,P13-T4,50569,703,36,2,6,1,1
P13,P13-T5,46031,607,30,5,4,1,1
P13,P13-T6,45854,601,30,3,2,1,1
P14,P14-T1,54388,730,29,0,1,1,1
P14,P14-T2,54615,747,31,5,2,1,1
P14,P14-T3,54574,742,31,4,2,1,1
P14,P14-T4,60413,873,37,6,9,1,1
P14,P14-T5,61562,903,37,11,6,1,1
P14,P14-T6,60260,873,37,9,10,1,1
P14,P14-T7,54987,757,31,5,5,1,1
P14,P14-T8,54917,754,31,3,2,1,1
P15,P15-T1,31896,744,14,9,11,1,1
P15,P15-T2,24178,573,9,4,6,1,1
P15,P15-T3,28836,679,15,4,9,1,1
P15,P15-T4,24342,573,9,4,6,1,1
P15,P15-T5,32458,746,16,0,0,1,1
P15,P15-T6,24718,585,9,4,7,1,1
P16,P16-T1,28733,437,25,6,2,1,1
P16,P16-T2,32176,490,31,5,4,1,1
P16,P16-T3,31370,473,31,5,3,1,1
P16,P16-T4,27271,379,25,7,2,1,1
P16,P16-T5,27040,376,25,4,5,1,1
P17,P17-T1,15675,424,8,3,6,1,1
P17,P17-T2,14627,401,9,5,8,1,1
P17,P17-T3,14630,399,9,5,6,1,1
P17,P17-T4,19155,501,15,4,6,1,1
P17,P17-T5,14265,394,9,3,3,1,1
P18,P18-T1,23316,443,21,4,2,1,1
P18,P18-T2,26296,487,27,1,4,1,1
P18,P18-T3,26327,494,27,2,4,1,1
P18,P18-T4,28927,539,30,1,5,1,1
P18,P18-T5,21189,377,21,3,4,1,1
P19,P19-T1,18286,365,23,4,2,1,1
P19,P19-T2,565286,7966,368,4,6,1,1
P19,P19-T3,21184,416,29,3,5,1,1
P19,P19-T4,16404,306,23,3,4,1,1
P2,P2-T1,6087,160,10,0,0,0,0
P2,P2-T2,6071,160,10,0,0,0,0
P2,P2-T3,6100,160,10,0,0,0,0
P2,P2-T4,1433,57,4,0,0,0,0
P20,P20-T1,18335,388,20,4,2,1,1
P20,P20-T2,565718,7977,368,5,6,1,1
P20,P20-T3,21388,431,26,1,6,1,1
P20,P20-T4,16173,318,20,2,3,1,1
P21,P21-T0,22391,330,18,4,2,1,1
P21,P21-T1,22432,338,19,3,3,1,1
P21,P21-T2,22468,335,19,3,4,1,1
P21,P21-T3,28397,475,25,5,6,1,1
P21,P21-T4,27886,463,25,3,6,1,1
P21,P21-T5,28864,486,25,5,15,1,1
P21,P21-T6,22455,338,19,1,3,1,1
P22,P22-T0,10495,220,14,5,2,1,1
P24,P24-T0,23206,366,18,4,2,1,1
P24,P24-T1,30218,533,25,6,8,1,1
P24,P24-T2,23097,369,19,1,2,1,1
P26,P26-T0,20616,322,17,4,2,1,1
P26,P26-T1,26577,462,24,5,4,1,1
P26,P26-T2,20900,331,18,2,5,1,1
P26,P26-T3,20818,334,18,3,4,1,1
P27,P27-T0,19876,324,18,3,2,1,1
P27,P27-T1,25526,462,25,11,3,1,1
P27,P27-T2,24439,432,25,6,3,1,1
P27,P27-T3,19412,317,19,1,2,1,1
P28,P28-T0,14369,224,15,2,2,1,1
P28,P28-T1,37069,558,32,4,4,2,1
P28,P28-T2,34342,514,31,4,13,2,1
P28,P28-T3,15131,245,16,4,2,1,1
P29,P29-T0,5786,144,7,2,1,0,1
P29,P29-T1,6546,167,8,4,4,0,1
P29,P29-T2,6636,164,8,3,2,0,1
P29,P29-T3,8223,228,9,3,3,0,1
P29,P29-T4,6061,155,8,3,3,0,1
P29,P29-T5,5959,152,8,3,2,0,1
P3,P3-T1,6252,161,10,0,0,0,0
P3,P3-T2,561837,7868,363,0,0,0,0
P3,P3-T3,6223,161,10,0,0,0,0
P3,P3-T4,6284,161,10,0,0,0,0
P30,P30-T0,11765,270,13,3,2,1,1
P30,P30-T1,17281,393,20,3,4,1,1
P30,P30-T2,16653,384,20,4,4,1,1
P30,P30-T3,17060,392,20,6,6,1,1
P30,P30-T4,6695,160,8,2,3,0,1
P31,P31-T0,8196,206,11,3,2,1,1
P31,P31-T1,9400,230,12,1,3,0,0
P31,P31-T2,565337,7948,365,3,5,0,0
P31,P31-T3,4736,130,6,3,4,0,0
P31,P31-T4,6241,190,7,3,5,0,0
P32,P32-T0,8998,210,11,4,2,1,1
P32,P32-T1,14478,319,16,2,2,1,0
P32,P32-T2,566151,7952,366,3,6,1,0
P32,P32-T3,14210,319,16,3,4,1,0
P33,P33-T0,10159,228,11,4,2,1,1
P33,P33-T1,566789,7970,366,9,11,1,0
P33,P33-T2,15273,339,16,4,7,1,0
P34,P34-T0,9755,214,11,3,2,1,1
P34,P34-T1,566451,7957,366,5,7,1,0
P34,P34-T2,10789,264,11,1,2,1,0
P36,P36-T0,7678,189,11,3,2,1,1
P36,P36-T1,12969,303,16,5,5,1,0
P38,P38-T0,10103,209,13,1,1,1,1
P38,P38-T1,12209,296,14,7,3,1,1
P38,P38-T2,14981,334,19,5,5,1,1
P38,P38-T3,10021,221,13,3,3,1,1
P39,P39-T0,14102,264,11,1,1,1,1
P39,P39-T1,20637,424,18,7,8,1,1
P39,P39-T2,14750,301,12,3,12,1,1
P4,P4-T1,3497,128,5,0,0,0,0
P4,P4-T2,1909,67,4,0,0,0,0
P4,P4-T3,6666,170,10,0,0,0,0
P4,P4-T4,1924,67,4,0,0,0,0
P4,P4-T5,1917,67,4,0,0,0,0
P40,P40-T0,16733,305,15,1,1,1,1
P40,P40-T1,22710,456,22,6,5,1,1
P40,P40-T2,18526,394,17,3,3,1,1
P41,P41-T0,14881,291,15,1,1,1,1
P41,P41-T1,20590,435,22,4,4,1,1
P41,P41-T2,17344,379,17,4,3,1,1
P42,P42-T0,11924,242,14,3,4,1,1
P43,P43-T0,22826,393,14,1,1,1,1
P43,P43-T1,29321,550,21,3,8,1,1
P43,P43-T2,29729,560,21,3,8,1,1
P44,P44-T0,15072,328,14,5,11,1,1
P45,P45-T0,10480,235,14,6,3,1,1
P45,P45-T1,10254,233,15,3,3,1,1
P45,P45-T2,12008,296,16,4,5,1,1
P45,P45-T3,10208,233,15,4,2,1,1
P45,P45-T4,5004,134,8,4,5,0,1
P46,P46-T0,35112,420,21,2,1,1,1
P46,P46-T1,33173,362,21,1,2,1,1
P47,P47-T0,31405,333,19,1,0,1,1
P47,P47-T1,31924,347,21,2,5,1,1
P47,P47-T2,36545,453,27,4,4,1,1
P47,P47-T3,33237,409,22,3,4,1,1
P48,P48-T0,32134,337,19,1,0,1,1
P48,P48-T1,32662,352,21,3,4,1,1
P48,P48-T2,36961,452,27,2,3,1,1
P48,P48-T3,36896,449,27,1,2,1,1
P48,P48-T4,34135,415,22,4,4,1,1
P49,P49-T0,33518,345,19,1,0,1,1
P49,P49-T1,38513,461,27,3,2,1,1
P49,P49-T2,38377,460,27,2,3,1,1
P49,P49-T3,35679,423,22,4,4,1,1
P5,P5-T1,4125,151,5,0,0,0,0
P5,P5-T2,7403,195,10,0,0,0,0
P5,P5-T3,7541,198,10,0,0,0,0
P5,P5-T4,7742,200,10,0,0,0,0
P5,P5-T5,2938,96,4,0,0,0,0
P50,P50-T0,33777,351,19,1,0,1,1
P50,P50-T1,39017,473,27,6,2,1,1
P50,P50-T2,38746,469,27,3,4,1,1
P50,P50-T3,35872,427,22,3,4,1,1
P6,P6-T1,3602,100,4,0,0,0,0
P6,P6-T2,3608,101,4,0,0,0,0
P6,P6-T3,3557,99,4,0,0,0,0
P6,P6-T4,8561,208,10,0,0,0,0
P6,P6-T5,3701,101,4,0,0,0,0
P7,P7-T1,5326,130,4,0,0,0,0
P7,P7-T2,5149,128,4,0,0,0,0
P7,P7-T3,9809,231,10,0,0,0,0
P7,P7-T4,9667,229,10,0,0,0,0
P7,P7-T5,9756,230,10,0,0,0,0
P7,P7-T6,6786,190,5,0,0,0,0
P7,P7-T7,5061,126,4,0,0,0,0
P8,P8-T1,4909,124,4,0,0,0,0
P8,P8-T2,6650,189,5,0,0,0,0
P8,P8-T3,6468,186,5,0,0,0,0
P8,P8-T4,6507,187,5,0,0,0,0
P8,P8-T5,4731,122,4,0,0,0,0
P8,P8-T6,4765,123,4,0,0,0,0
P9,P9-T1,4249,118,4,0,0,0,0
P9,P9-T2,6049,185,5,0,0,0,0
P9,P9-T3,5806,180,5,0,0,0,0
P9,P9-T4,4247,118,4,0,0,0,0
P9,P9-T5,4291,119,4,0,0,0,0
P9,P9-T6,5928,182,5,0,0,0,0
P9,P9-T7,4461,122,4,0,0,0,0
